,No Mhs,Kalkulus 1 TP1,Kalkulus TP2,Kalkulus 1 UTS,Kalkulus 1 UAS,Kalkulus 1 Rata-Rata,Data Sci IoT TP1,Data Sci IoT TP2,Data Sci IoT UTS,Data Sci IoT UAS,Data Sci IoT Rata-Rata,Keamanan Komp TP1,Keamanan Komp TP2,Keamanan Komp UTS,Keamanan Komp UAS,Keamanan Komp Rata-Rata,Jaringan Komp TP1,Jaringan Komp TP2,Jaringan Komp UTS,Jaringan Komp UAS,Jaringan Komp Rata-Rata,Machine Learning Lanjut TP1,Machine Learning Lanjut TP2,Machine Learning Lanjut UTS,Machine Learning Lanjut UAS,Machine Learning Lanjut Rata-Rata,Pemodelan B. Objek TP1,Pemodelan B. Objek TP2,Pemodelan B. Objek UTS,Pemodelan B. Objek UAS,Pemodelan B. Objek Rata-Rata,Pengolahan Gbr Data Sci TP1,Pengolahan Gbr Data Sci TP2,Pengolahan Gbr Data Sci TP3,Pengolahan Gbr Data Sci TP4,Pengolahan Gbr Data Sci Rata-Rata,Pemrograman Web TP1,Pemrograman Web TP2,Pemrograman Web UTS,Pemrograman Web UAS,Pemrograman Web Rata-Rata,Pemrograman Mobile TP1,Pemrograman Mobile TP2,Pemrograman Mobile UTS,Pemrograman Mobile UAS,Pemrograman Mobile Rata-Rata,Blockchain TP1,Blockchain TP2,Blockchain UTS,Blockchain UAS,Blockchain Rata-Rata,Topik Skripsi
110,110,9,8,11,6,8,6,9,10,6,8,11,11,9,5,9,8,11,5,3,7,12,12,9,8,10,10,8,8,5,8,10,8,7,12,9,11,8,7,11,9,6,6,4,4,5,12,10,12,6,10,Machine Learning Lanjut
111,111,10,10,11,7,10,6,10,6,3,6,10,6,7,5,7,9,5,9,10,8,5,7,2,5,5,11,12,8,4,9,10,11,6,10,9,6,7,9,10,8,12,12,9,5,10,8,10,7,11,9,Kalkulus 1
112,112,9,8,6,10,8,5,4,2,3,4,9,6,9,3,7,3,5,4,6,4,3,4,1,5,3,4,6,2,2,4,7,6,10,2,6,4,3,7,1,4,7,4,4,2,4,2,1,5,2,2,Pengolahan Gbr Data Sci
113,113,7,7,12,9,9,8,5,8,3,6,7,11,10,12,10,10,8,6,4,7,10,10,7,10,9,12,12,12,11,12,7,3,1,6,4,9,5,3,8,6,9,12,9,7,9,5,3,6,7,5,Kalkulus 1
114,114,5,9,6,2,6,5,8,4,7,6,5,9,1,2,4,6,9,5,9,7,10,9,5,10,8,8,9,12,5,8,10,6,4,8,7,6,5,8,1,5,10,8,9,10,9,7,9,9,12,9,Machine Learning Lanjut
115,115,9,11,9,11,10,9,6,11,3,7,5,9,7,3,6,12,8,10,4,8,8,4,9,2,6,6,4,4,8,6,11,8,10,7,9,8,5,8,2,6,7,11,9,3,8,6,5,2,7,5,Pengolahan Gbr Data Sci
116,116,6,8,5,9,7,3,4,5,1,3,7,3,8,4,6,9,6,9,8,8,9,9,10,6,8,3,2,4,7,4,8,8,10,8,8,9,5,1,6,5,7,8,7,4,6,9,7,5,2,6,Jaringan Komp
117,117,8,8,9,12,9,8,9,9,7,8,12,12,12,9,11,7,7,5,2,5,12,10,6,3,8,12,11,9,6,10,8,10,12,12,10,5,9,1,2,4,6,4,1,5,4,8,12,9,12,10,Pengolahan Gbr Data Sci
118,118,10,10,6,6,8,5,5,8,2,5,8,4,5,8,6,6,7,9,5,7,9,10,5,9,8,10,9,5,7,8,5,6,8,10,7,8,11,8,9,9,9,6,3,6,6,11,10,10,6,9,Pemrograman Web
119,119,6,6,2,6,5,7,6,11,4,7,8,10,6,2,6,8,4,4,9,6,12,8,12,4,9,9,8,8,9,8,9,7,5,9,8,11,9,7,9,9,11,11,9,6,9,11,12,10,12,11,Blockchain
120,120,10,10,10,9,10,5,1,2,3,3,10,8,10,5,8,6,2,6,3,4,6,5,8,2,5,8,8,4,7,7,4,3,8,1,4,10,10,7,9,9,10,6,4,8,7,2,6,1,4,3,Pemrograman Web
121,121,8,4,9,6,7,9,12,7,12,10,9,8,8,8,8,9,10,10,10,10,7,4,2,2,4,7,6,5,5,6,9,8,4,3,6,6,5,4,6,5,12,8,12,11,11,5,4,3,4,4,Jaringan Komp
122,122,5,8,7,4,6,6,3,7,4,5,12,8,6,3,7,7,7,4,9,7,11,7,5,5,7,10,10,12,11,11,12,9,5,8,8,8,12,12,11,11,9,8,4,9,8,10,8,4,1,6,Pemodelan B. Objek
123,123,9,8,5,3,6,12,9,12,10,11,12,12,8,5,9,10,11,9,10,10,11,8,4,4,7,9,7,12,7,9,10,10,12,6,10,6,4,3,7,5,5,4,9,1,5,7,5,9,6,7,Pengolahan Gbr Data Sci
124,124,3,1,2,2,2,8,7,5,6,6,10,7,5,7,7,7,8,8,10,8,8,6,2,7,6,9,6,5,7,7,3,6,4,5,4,7,9,7,6,7,2,4,7,7,5,10,9,10,5,8,Keamanan Komp
125,125,9,7,11,3,8,6,3,7,2,4,5,5,4,1,4,12,9,5,5,8,10,6,10,8,8,11,8,12,9,10,7,6,3,1,4,7,6,10,3,6,8,5,2,4,5,10,7,11,3,8,Kalkulus 1
126,126,8,11,8,12,10,8,10,10,6,8,7,11,10,7,9,7,5,6,2,5,8,8,7,8,8,9,8,7,12,9,7,10,10,4,8,10,9,12,8,10,8,8,6,8,8,10,9,11,5,9,Kalkulus 1
127,127,12,11,11,12,12,8,8,12,4,8,8,5,1,6,5,6,6,6,3,5,12,8,10,7,9,5,5,4,7,5,7,4,2,6,5,6,6,4,6,6,12,12,11,8,11,12,11,10,10,11,Kalkulus 1
128,128,10,7,4,4,6,2,1,6,1,2,9,9,9,8,9,3,5,5,4,4,2,4,4,3,3,2,2,3,1,2,8,7,10,7,8,7,4,9,7,7,9,9,7,9,8,2,6,3,6,4,Pemrograman Mobile
129,129,7,3,6,7,6,5,6,2,3,4,11,9,9,11,10,11,9,12,7,10,10,11,8,9,10,5,2,6,6,5,8,6,7,9,8,9,9,9,5,8,5,5,4,1,4,11,12,7,10,10,Keamanan Komp
130,130,12,11,7,9,10,12,8,11,4,9,7,6,3,3,5,12,10,10,11,11,12,11,12,8,11,5,4,3,8,5,10,10,6,2,7,11,7,5,7,8,5,4,6,4,5,11,12,8,6,9,Jaringan Komp
131,131,8,8,12,4,8,7,9,11,10,9,9,5,1,6,5,10,6,8,4,7,7,6,2,1,4,11,9,9,12,10,5,2,3,6,4,12,9,12,11,11,8,8,11,6,8,11,9,6,4,8,Data Sci IoT
132,132,5,5,10,2,6,3,3,1,5,3,6,10,10,7,8,4,6,9,2,5,4,1,4,2,3,7,4,9,7,7,9,7,6,10,8,8,5,7,6,6,4,8,5,1,4,8,6,7,5,6,Pengolahan Gbr Data Sci
133,133,11,10,7,3,8,6,3,5,1,4,7,4,9,3,6,9,5,4,5,6,11,9,5,6,8,5,2,3,5,4,11,9,7,8,9,8,11,5,5,7,11,10,7,7,9,8,4,5,8,6,Kalkulus 1
134,134,10,11,11,9,10,11,8,5,2,6,11,8,10,4,8,6,2,1,5,4,10,7,9,3,7,9,10,8,5,8,5,6,6,4,5,5,2,6,4,4,9,8,8,7,8,9,5,1,3,4,Keamanan Komp
135,135,11,8,5,3,7,10,6,7,6,7,8,11,6,3,7,8,11,7,3,7,11,8,6,7,8,5,6,3,3,4,11,10,9,9,10,6,5,7,5,6,12,9,5,1,7,9,5,5,10,7,Kalkulus 1
136,136,7,3,7,2,5,6,7,7,10,8,3,6,6,5,5,6,5,10,4,6,2,2,1,6,3,3,7,7,5,6,5,5,6,1,4,6,5,6,8,6,8,6,8,3,6,3,6,7,7,6,Data Sci IoT
137,137,12,9,8,8,9,11,10,12,12,11,7,3,7,3,5,12,9,12,7,10,8,6,9,8,8,5,3,2,6,4,10,12,7,3,8,8,6,9,7,8,8,8,7,6,7,7,4,2,5,4,Data Sci IoT
138,138,5,9,4,2,5,12,8,10,10,10,9,11,12,11,11,7,6,5,5,6,9,8,8,5,8,5,4,4,1,4,5,4,3,8,5,6,10,9,9,8,12,8,8,9,9,6,3,5,7,5,Pemrograman Mobile
139,139,5,1,5,3,4,5,7,5,8,6,10,10,7,6,8,7,11,11,7,9,6,3,3,3,4,10,9,9,9,9,6,6,4,7,6,11,7,8,9,9,11,10,10,12,11,5,4,9,7,6,Pemodelan B. Objek
140,140,10,7,5,6,7,6,8,5,5,6,10,7,8,9,8,7,8,9,8,8,4,1,5,6,4,7,8,3,5,6,3,1,4,1,2,3,1,3,2,2,5,2,6,7,5,10,10,10,9,10,Jaringan Komp
141,141,6,7,3,2,4,10,9,9,10,10,5,9,1,5,5,8,5,2,2,4,11,8,6,8,8,7,11,10,7,9,7,10,7,6,8,10,8,9,6,8,11,12,8,6,9,12,10,7,3,8,Pemrograman Mobile
142,142,9,10,11,11,10,9,7,6,6,7,8,9,9,10,9,10,11,10,8,10,8,7,9,3,7,5,4,8,4,5,11,12,11,11,11,11,9,10,7,9,12,12,9,7,10,6,9,4,7,6,Kalkulus 1
143,143,8,5,8,10,8,8,6,8,4,6,5,4,8,6,6,8,11,4,9,8,11,8,5,10,8,10,12,9,6,9,10,8,10,5,8,8,4,4,7,6,11,7,12,9,10,12,10,10,9,10,Blockchain
144,144,10,10,10,9,10,4,3,7,5,5,2,4,7,3,4,7,7,6,6,6,7,10,6,4,7,9,10,8,5,8,9,6,6,3,6,3,2,4,6,4,9,6,5,5,6,6,10,4,5,6,Kalkulus 1
145,145,10,11,12,6,10,11,12,12,8,11,7,10,8,6,8,8,12,6,4,8,6,3,5,8,6,11,7,6,3,7,11,7,5,5,7,6,8,5,8,7,5,9,7,7,7,8,9,9,12,10,Kalkulus 1
146,146,9,5,9,3,6,12,12,10,7,10,6,3,2,6,4,8,12,12,8,10,6,8,9,4,7,10,11,8,10,10,8,9,4,8,7,10,12,8,5,9,12,12,8,10,10,10,8,4,2,6,Jaringan Komp
147,147,11,12,8,12,11,7,6,7,7,7,6,10,10,8,8,10,7,10,4,8,10,10,11,8,10,9,10,5,5,7,6,6,9,10,8,9,6,3,5,6,7,5,2,7,5,6,9,5,9,7,Kalkulus 1
148,148,3,2,7,5,4,5,9,6,8,7,9,5,6,1,5,5,4,3,5,4,5,5,5,5,5,8,5,8,2,6,10,9,8,4,8,9,7,7,8,8,10,9,5,2,6,2,3,5,6,4,Data Sci IoT
149,149,8,11,12,10,10,12,9,8,7,9,6,8,8,6,7,9,10,7,6,8,10,12,11,6,10,12,8,6,2,7,12,12,12,10,12,6,6,2,5,5,6,9,5,7,7,8,6,7,7,7,Pengolahan Gbr Data Sci
150,150,8,7,7,8,8,6,10,11,5,8,6,7,4,7,6,10,12,9,9,10,8,5,10,6,7,5,5,3,7,5,11,9,9,10,10,6,7,11,6,8,7,8,8,9,8,10,11,6,8,9,Pengolahan Gbr Data Sci
151,151,6,2,7,5,5,11,7,11,6,9,6,6,5,8,6,7,7,6,3,6,8,8,12,10,10,11,8,12,7,10,10,11,10,7,10,7,8,12,11,10,5,1,3,4,3,6,9,8,2,6,Pemodelan B. Objek
152,152,3,3,2,3,3,2,4,4,1,3,5,3,8,2,4,5,6,10,9,8,10,7,5,9,8,5,7,6,1,5,4,1,3,6,4,2,1,1,4,2,5,1,3,3,3,7,8,10,6,8,Machine Learning Lanjut
153,153,9,7,4,9,7,6,7,10,7,8,10,6,5,5,6,10,8,9,10,9,11,9,8,9,9,10,10,9,6,9,9,7,12,8,9,9,9,12,8,10,9,11,9,10,10,9,11,8,10,10,Pemrograman Web
154,154,11,8,4,5,7,8,10,12,4,8,11,12,9,10,10,5,2,7,7,5,7,11,4,2,6,8,9,4,9,8,10,12,9,5,9,10,7,10,8,9,6,9,7,4,6,12,11,7,12,10,Blockchain
155,155,5,1,5,3,4,11,7,8,9,9,8,4,6,3,5,9,12,10,5,9,11,10,11,9,10,7,4,6,3,5,6,5,3,2,4,8,4,1,1,4,5,5,10,5,6,12,12,9,12,11,Data Sci IoT
156,156,8,8,7,6,7,8,10,7,10,9,4,4,4,2,4,4,2,3,6,4,6,10,4,6,6,4,5,4,8,5,2,2,7,3,4,5,5,8,3,5,2,4,6,3,4,4,2,3,3,3,Machine Learning Lanjut
157,157,11,7,12,5,9,5,3,7,4,5,10,8,4,9,8,10,11,12,8,10,7,3,7,5,6,7,3,5,2,4,9,11,9,9,10,10,9,6,3,7,12,8,5,6,8,6,4,1,1,3,Jaringan Komp
158,158,9,9,6,4,7,8,10,6,10,8,6,3,6,1,4,5,8,8,4,6,11,7,5,1,6,11,11,10,12,11,5,8,7,6,6,12,11,10,6,10,7,5,10,7,7,9,11,10,8,10,Blockchain
159,159,8,8,11,6,8,12,8,5,10,9,12,8,9,9,10,7,10,7,11,9,12,11,11,8,10,5,6,3,3,4,6,9,10,7,8,12,8,5,10,9,9,5,7,3,6,11,12,10,11,11,Blockchain
160,160,5,8,2,3,4,8,5,3,5,5,7,3,2,2,4,7,4,2,5,4,4,6,3,1,4,8,9,10,10,9,5,6,8,7,6,8,4,9,6,7,7,7,6,9,7,7,7,8,3,6,Pemrograman Web
161,161,12,10,11,11,11,8,9,5,9,8,8,8,8,4,7,6,8,3,5,6,11,9,9,8,9,5,8,2,2,4,10,6,7,3,6,8,10,11,5,8,8,10,9,10,9,10,12,7,8,9,Pemrograman Mobile
162,162,10,6,11,10,9,5,3,2,2,3,12,12,11,12,12,12,10,6,8,9,12,8,9,8,9,12,11,8,9,10,8,9,4,4,6,10,11,12,6,10,12,8,6,3,7,12,8,7,6,8,Keamanan Komp
163,163,8,9,11,12,10,5,3,4,2,4,7,10,9,6,8,5,3,7,4,5,12,9,11,5,9,9,10,10,6,9,10,6,6,8,8,10,12,12,6,10,6,7,6,3,6,11,10,8,12,10,Kalkulus 1
164,164,8,8,9,7,8,8,6,10,9,8,10,7,10,6,8,6,6,4,5,5,2,3,4,4,3,4,5,1,5,4,2,2,4,7,4,6,9,4,5,6,3,6,5,7,5,2,3,2,3,2,Kalkulus 1
165,165,9,10,12,9,10,11,9,6,11,9,6,4,7,5,6,12,11,7,9,10,5,3,2,3,3,11,9,9,10,10,12,9,8,6,9,8,10,12,4,8,9,5,3,1,4,10,8,11,12,10,Jaringan Komp
166,166,9,9,12,6,9,6,8,4,6,6,5,7,9,3,6,5,5,2,5,4,8,8,5,6,7,5,9,8,8,8,12,8,5,10,9,6,9,3,3,5,10,11,6,6,8,6,9,4,2,5,Pengolahan Gbr Data Sci
167,167,10,12,7,11,10,11,8,5,4,7,12,10,6,11,10,9,9,11,12,10,11,9,12,9,10,10,11,9,8,10,9,6,10,5,8,11,7,12,7,9,6,5,6,5,6,11,9,5,7,8,Jaringan Komp
168,168,9,8,4,2,6,3,5,5,7,5,8,5,5,5,6,5,5,1,2,3,9,7,6,4,6,7,8,3,4,6,5,7,7,9,7,10,9,9,9,9,8,4,9,8,7,10,7,5,10,8,Pemrograman Web
169,169,8,8,5,7,7,10,11,11,8,10,9,5,4,5,6,9,12,8,12,10,9,9,7,12,9,8,4,2,7,5,7,4,9,9,7,12,10,7,7,9,9,7,7,4,7,12,11,7,5,9,Data Sci IoT
170,170,7,5,5,1,4,6,8,6,7,7,8,5,5,8,6,5,2,6,2,4,11,10,8,6,9,11,12,11,12,12,7,3,2,7,5,7,11,7,6,8,10,12,8,11,10,12,8,11,9,10,Pemodelan B. Objek
171,171,11,9,6,2,7,11,7,3,5,6,5,9,3,3,5,12,8,11,4,9,7,5,2,6,5,8,5,2,2,4,10,7,4,5,6,5,3,1,3,3,5,5,1,5,4,10,6,5,9,8,Kalkulus 1
172,172,3,3,3,1,2,7,3,1,3,4,8,5,3,4,5,2,5,3,1,3,6,4,3,8,5,3,4,8,2,4,10,6,7,2,6,5,3,5,1,4,6,3,4,3,4,7,10,9,8,8,Blockchain
173,173,8,12,6,7,8,7,10,6,8,8,12,9,10,5,9,6,2,2,5,4,11,8,5,1,6,12,8,11,10,10,6,10,5,5,6,7,9,5,3,6,7,6,7,5,6,10,8,10,7,9,Pemodelan B. Objek
174,174,6,6,3,6,5,12,10,12,6,10,9,7,3,7,6,12,11,7,6,9,11,9,8,9,9,12,9,11,5,9,5,3,3,1,3,8,4,2,3,4,6,10,11,2,7,9,7,10,9,9,Jaringan Komp
175,175,12,12,12,11,12,5,3,5,1,4,10,11,12,7,10,11,12,12,11,12,6,9,2,5,6,9,6,11,2,7,10,6,11,3,8,7,4,8,9,7,12,9,9,8,10,9,12,8,8,9,Keamanan Komp
176,176,10,8,10,6,8,10,6,5,3,6,9,7,10,8,8,9,10,8,8,9,7,4,5,6,6,3,4,8,2,4,8,10,9,10,9,7,7,4,9,7,2,4,4,4,4,4,7,3,3,4,Jaringan Komp
177,177,12,9,7,10,10,7,3,7,4,5,10,11,6,4,8,10,11,8,7,9,5,5,1,2,3,10,8,8,12,10,8,8,10,5,8,6,4,6,4,5,9,9,8,10,9,7,5,9,6,7,Jaringan Komp
178,178,8,5,10,3,6,6,6,11,8,8,7,9,5,8,7,7,4,8,4,6,8,7,9,10,8,5,3,7,7,6,12,10,9,5,9,7,11,11,10,10,6,8,5,6,6,5,5,7,4,5,Pengolahan Gbr Data Sci
179,179,11,11,11,8,10,9,9,6,11,9,6,5,3,3,4,11,11,12,12,12,8,4,1,6,5,7,3,5,1,4,7,10,4,1,6,12,8,5,7,8,12,8,4,2,6,6,6,5,9,6,Jaringan Komp
180,180,5,8,1,2,4,10,8,5,10,8,4,1,5,3,3,4,4,3,6,4,10,7,7,7,8,2,3,5,7,4,9,7,8,5,7,6,7,9,8,8,4,4,4,6,4,6,3,4,7,5,Pemrograman Web
181,181,8,6,11,7,8,12,10,8,12,10,9,11,7,9,9,10,7,6,4,7,9,9,9,6,8,7,3,6,2,4,11,7,3,4,6,10,9,11,10,10,5,3,5,3,4,7,8,7,10,8,Keamanan Komp
182,182,10,8,4,2,6,7,10,8,3,7,10,10,10,12,10,12,8,8,4,8,10,11,6,4,8,7,4,2,7,5,11,7,5,7,8,12,11,8,11,10,5,6,2,4,4,7,4,6,5,6,Keamanan Komp
183,183,12,8,11,12,11,12,10,9,12,11,10,7,7,8,8,7,9,8,8,8,8,12,6,9,9,11,8,11,9,10,7,10,7,12,9,10,8,12,4,8,5,2,6,6,5,10,8,12,11,10,Kalkulus 1
184,184,6,9,3,8,6,6,8,6,9,7,4,1,6,4,4,5,8,3,4,5,9,5,7,2,6,7,4,3,5,5,8,6,5,4,6,9,8,9,5,8,4,5,8,6,6,6,5,9,4,6,Data Sci IoT
185,185,8,7,9,7,8,11,12,9,9,10,6,4,7,2,5,11,8,10,11,10,10,9,5,6,8,9,11,6,11,9,7,3,7,8,6,10,6,9,3,7,6,10,7,2,6,10,6,6,10,8,Data Sci IoT
186,186,12,10,12,10,11,11,7,11,3,8,9,6,6,5,6,8,4,4,9,6,10,10,6,8,8,12,12,11,12,12,7,9,9,12,9,6,8,3,2,5,12,8,4,5,7,10,11,12,8,10,Kalkulus 1
187,187,8,7,3,3,5,8,7,5,10,8,9,10,7,9,9,12,11,7,7,9,11,8,4,7,8,11,10,11,11,11,8,4,4,7,6,8,7,8,9,8,6,7,5,2,5,9,8,12,12,10,Keamanan Komp
188,188,10,10,9,5,8,4,3,7,6,5,4,5,3,1,3,8,4,1,6,5,9,9,7,7,8,9,7,6,5,7,3,7,6,6,6,2,6,4,1,3,7,5,9,3,6,4,2,2,2,2,Pemodelan B. Objek
189,189,9,12,10,8,10,7,9,8,10,8,10,8,7,7,8,9,11,7,11,10,9,11,9,8,9,10,9,10,7,9,10,7,4,6,7,5,6,7,4,6,8,12,10,5,9,5,1,3,4,3,Jaringan Komp
190,190,10,7,4,7,7,6,3,5,7,5,12,11,10,11,11,11,11,10,6,10,12,9,8,12,10,9,7,11,5,8,12,8,7,6,8,7,7,11,12,9,5,8,10,6,7,12,8,9,7,9,Machine Learning Lanjut
191,191,6,6,7,9,7,7,8,6,8,7,12,11,10,9,10,8,4,3,7,6,5,7,2,3,4,5,5,10,9,7,11,8,4,5,7,7,7,3,8,6,12,10,10,12,11,12,9,11,5,9,Keamanan Komp
192,192,4,3,4,7,4,6,10,2,3,5,6,10,4,7,7,10,10,7,6,8,5,3,3,7,4,2,3,4,2,3,2,1,6,6,4,6,9,2,6,6,4,3,7,5,5,6,9,5,8,7,Blockchain
193,193,12,10,7,8,9,5,9,8,3,6,5,2,4,1,3,8,12,11,11,10,6,2,3,4,4,6,8,4,8,6,10,6,10,11,9,11,9,10,9,10,12,12,8,7,10,12,9,7,3,8,Pemrograman Web
194,194,6,8,11,6,8,11,11,10,8,10,9,10,8,4,8,5,6,1,6,4,12,12,11,8,11,6,9,10,11,9,7,8,4,8,7,8,8,12,8,9,6,6,11,4,7,12,8,9,6,9,Data Sci IoT
195,195,7,9,5,6,7,8,12,6,2,7,6,6,4,1,4,6,9,2,7,6,5,2,7,7,5,9,6,10,5,8,12,12,11,8,11,7,5,10,2,6,5,8,10,3,6,8,12,12,7,10,Pengolahan Gbr Data Sci
196,196,3,6,3,7,5,7,8,5,7,7,5,5,7,3,5,4,1,1,5,3,7,6,7,7,7,6,5,1,5,4,5,6,8,2,5,3,5,1,2,3,4,1,5,1,3,8,7,7,9,8,Blockchain
197,197,9,7,6,5,7,7,6,7,3,6,10,7,5,2,6,6,5,5,2,4,6,3,1,4,4,12,9,6,7,8,9,11,12,12,11,8,8,8,10,8,11,9,7,6,8,8,11,4,7,8,Pemrograman Web
198,198,11,7,7,5,8,8,4,3,5,5,6,8,10,6,8,6,8,6,11,8,9,6,7,11,8,11,12,9,11,11,12,10,11,10,11,8,8,12,9,9,6,8,3,1,4,12,11,10,10,11,Blockchain
199,199,5,3,2,2,3,6,8,6,8,7,7,7,4,7,6,11,10,12,11,11,10,10,8,11,10,11,7,7,5,8,9,10,10,11,10,7,6,6,9,7,8,10,12,5,9,5,7,10,7,7,Pengolahan Gbr Data Sci
200,200,5,3,5,7,5,5,6,1,2,4,5,5,5,2,4,3,3,2,1,2,7,10,6,4,7,9,7,3,1,5,8,9,10,10,9,5,6,5,6,6,7,4,1,2,4,7,4,4,9,6,Pengolahan Gbr Data Sci
201,201,8,9,12,11,10,7,7,8,3,6,10,7,11,3,8,9,11,5,5,8,8,12,9,7,9,6,8,11,11,9,6,5,7,10,7,7,5,5,9,6,12,9,11,5,9,10,11,7,5,8,Pemodelan B. Objek
202,202,10,10,11,11,10,11,8,6,7,8,5,6,6,1,4,8,12,4,9,8,8,9,10,6,8,12,9,9,10,10,7,9,5,8,7,7,4,1,2,4,7,5,8,6,6,6,3,5,1,4,Pemodelan B. Objek
203,203,7,3,8,3,5,10,10,12,8,10,12,11,9,10,10,9,9,11,12,10,5,9,10,2,6,7,9,8,7,8,5,3,5,7,5,6,3,4,7,5,6,9,7,3,6,5,9,9,1,6,Jaringan Komp
204,204,9,5,6,5,6,8,5,8,5,6,8,5,5,2,5,7,9,4,5,6,3,6,4,7,5,6,9,2,7,6,2,3,1,3,2,10,7,3,1,5,2,1,3,1,2,10,9,10,9,10,Kalkulus 1
205,205,8,7,4,4,6,6,2,5,4,4,7,8,10,11,9,12,8,12,12,11,10,8,10,11,10,9,6,9,7,8,7,7,4,6,6,11,9,11,8,10,12,11,10,12,11,11,8,6,8,8,Jaringan Komp
206,206,8,8,11,4,8,8,12,12,8,10,9,5,6,5,6,10,8,4,4,6,8,4,9,4,6,6,2,1,2,3,11,11,9,12,11,10,9,9,7,9,11,7,10,6,8,10,7,5,1,6,Pengolahan Gbr Data Sci
207,207,9,9,8,10,9,10,9,5,6,8,11,10,11,10,10,9,8,5,6,7,6,4,6,7,6,5,2,1,3,3,9,7,11,10,9,5,6,1,2,4,7,9,5,6,7,5,2,1,3,3,Keamanan Komp
208,208,9,5,4,6,6,6,10,4,3,6,5,5,7,6,6,8,10,5,5,7,4,4,8,2,4,4,5,9,9,7,3,7,8,7,6,9,10,5,3,7,9,6,4,8,7,6,2,3,1,3,Pemrograman Web
209,209,8,10,10,10,10,9,8,4,4,6,5,2,2,3,3,11,8,4,2,6,8,4,8,9,7,8,12,7,8,9,10,9,9,6,8,12,10,6,3,8,5,4,9,2,5,6,8,6,4,6,Pengolahan Gbr Data Sci
210,210,10,6,7,2,6,7,7,9,5,7,8,9,8,7,8,5,6,7,3,5,12,11,7,12,10,11,9,9,6,9,12,8,12,5,9,10,10,12,8,10,12,10,6,3,8,10,6,8,7,8,Pemrograman Web
211,211,5,9,3,1,4,8,12,12,10,10,11,9,6,3,7,5,6,1,2,4,6,6,6,10,7,9,6,3,2,5,7,5,8,5,6,6,5,8,8,7,12,11,8,4,9,11,7,4,5,7,Keamanan Komp
212,212,10,8,7,5,8,5,2,7,6,5,5,7,3,5,5,5,1,1,2,2,2,3,2,1,2,8,4,5,8,6,10,8,6,6,8,3,5,2,5,4,10,8,10,9,9,3,3,5,8,5,Kalkulus 1
213,213,8,10,9,8,9,8,10,8,11,9,12,8,9,7,9,7,10,12,10,10,11,11,12,11,11,10,8,5,1,6,11,9,12,10,10,12,11,7,6,9,8,8,9,4,7,5,8,5,3,5,Jaringan Komp
214,214,11,8,9,10,10,7,4,3,1,4,12,11,8,9,10,8,12,10,9,10,11,12,9,5,9,6,3,1,3,3,8,10,11,7,9,11,10,9,12,10,11,7,12,3,8,7,8,9,3,7,Kalkulus 1
215,215,12,12,12,11,12,6,7,7,10,8,5,9,2,5,5,8,9,6,11,8,5,8,6,9,7,9,6,8,8,8,5,2,2,5,4,11,9,9,11,10,10,6,3,7,6,12,11,12,7,10,Pemrograman Web
216,216,3,6,1,5,4,10,9,10,10,10,8,5,9,4,6,10,10,10,7,9,8,4,5,4,5,7,10,8,9,8,10,10,9,9,10,9,7,7,6,7,4,3,4,2,3,3,2,7,1,3,Data Sci IoT
217,217,10,11,11,10,10,6,10,2,7,6,9,5,8,2,6,9,6,10,11,9,8,10,12,12,10,6,9,11,2,7,7,4,1,6,4,9,5,4,9,7,9,12,10,11,10,11,11,7,4,8,Machine Learning Lanjut
218,218,11,8,9,10,10,9,10,8,7,8,10,11,7,7,9,12,12,12,10,12,9,7,4,2,6,10,10,8,10,10,12,10,9,9,10,8,11,12,6,9,11,9,10,9,10,12,12,11,8,11,Blockchain
219,219,10,9,12,9,10,5,4,4,6,5,12,11,11,10,11,9,9,6,10,8,5,3,8,2,4,8,5,2,3,4,12,11,7,10,10,11,8,6,6,8,10,6,6,5,7,9,7,4,7,7,Pengolahan Gbr Data Sci
220,220,7,5,6,1,5,5,3,6,3,4,6,2,3,3,4,8,5,8,8,7,5,9,5,3,6,8,9,4,5,6,6,5,10,4,6,7,9,4,1,5,6,2,7,4,5,8,9,8,10,9,Blockchain
221,221,5,9,8,1,6,8,5,9,6,7,12,11,12,11,12,12,8,12,6,10,7,11,9,6,8,12,10,8,9,10,8,6,4,7,6,9,8,9,5,8,8,10,5,2,6,7,3,7,4,5,Jaringan Komp
222,222,5,8,5,10,7,8,7,12,9,9,11,7,8,10,9,10,11,10,7,10,10,11,11,6,10,11,11,10,9,10,11,8,11,5,9,12,12,9,12,11,6,9,10,8,8,12,12,8,5,9,Pemrograman Web
223,223,10,7,11,8,9,5,9,1,4,5,9,12,12,7,10,5,6,4,5,5,5,9,2,1,4,8,6,3,2,5,7,11,11,9,10,10,12,6,3,8,9,11,12,8,10,11,9,6,11,9,Keamanan Komp
224,224,5,3,5,6,5,9,7,8,3,7,3,4,7,3,4,4,7,1,6,4,4,5,2,4,4,9,10,8,4,8,7,7,8,7,7,10,6,7,9,8,5,9,1,6,5,9,10,6,7,8,Pemodelan B. Objek
225,225,5,4,1,6,4,11,7,9,3,8,6,2,4,6,4,8,9,4,9,8,7,8,10,11,9,6,5,2,4,4,6,2,1,2,3,5,9,6,9,7,9,9,8,12,10,11,9,11,11,10,Pemrograman Mobile
